Реальные     денежные   доходы, Индекс реальных инвестиций в основной капитал
"157.1","87.1"
"173.2","132.9"
"175.8","156.5"
"258.7","226.7"
"164.5","107.5"
"180.2","156.2"
"175.5","175.6"
"230.9","223.7"
"174.0","88.2"
"186.4","123.7"
"180.4","144.6"
"261.1","203.1"
"185.4","83.9"
"195.0","130.5"
"187.8","152.2"
"274.8","225.7"
"178.6","87.4"
"196.6","140.6"
"191.1","169.6"
"284.4","259.5"
"184.5","99.4"
"211.6","155.4"
"200.3","178.8"
"300.0","267.7"
"202.7","102.0"
"216.4","155.8"
"202.1","178.3"
"310.2","270.8"
"189.2","98.8"
"208.9","156.2"
"203.3","177.9"
"286.8","263.4"
"185.5","91.7"
"202.2","138.2"
"194.3","153.4"
"301.5","238.9"
"184.0","88.2"
"193.3","133.0"
"189.2","151.9"
"281.4","235.9"

